date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount,volume
2019-05-31,266.47,266.81,248.22,248.22,219.0297,90766766.0,0.6437,
2019-06-28,248.34,268.96,247.04,265.85,235.146,64656536.0,0.6371,
2019-07-31,268.45,273.99,266.0,268.52,237.7031,47936684.0,0.2234,
2019-08-30,268.82,271.71,253.93,264.13,233.8169,87127980.0,0.0,
2019-09-30,262.07,273.44,260.03,269.18,238.8599,56341658.0,0.647,
2019-10-31,269.76,275.0,257.38,270.48,240.1686,64125851.0,0.1729,
2019-11-29,271.86,281.91,271.69,280.95,249.923,37008666.0,0.5137,
2019-12-31,281.45,286.85,273.62,285.1,254.3868,44232633.0,0.866,
2020-01-31,286.44,293.61,281.61,282.42,252.1145,58196637.0,0.1385,
2020-02-28,283.69,295.87,247.0,254.56,227.8746,91367962.0,0.8039,
2020-03-31,256.71,271.11,182.1,219.23,196.8637,253529602.0,0.6018,
2020-04-30,210.65,247.67,207.18,243.22,218.5234,137541696.0,0.1302,
2020-05-29,239.58,257.94,228.3,254.29,228.9152,89094990.0,0.4623,
2020-06-30,253.78,276.38,249.1,257.87,232.8131,119500230.0,0.7527,
2020-07-31,258.87,270.54,255.35,264.35,238.8524,74027938.0,0.2112,
2020-08-31,265.67,287.45,265.35,284.28,257.4151,55273559.0,0.6035,
2020-09-30,283.73,292.36,265.27,277.5,251.8818,77631390.0,0.6668,
2020-10-30,279.33,289.61,261.41,265.06,240.6885,72181904.0,0.1168,
2020-11-30,268.9,301.11,266.93,296.62,269.9472,82873422.0,0.6522,
2020-12-31,299.73,306.29,296.35,305.79,278.8341,64494714.0,0.5875,
2021-01-29,306.59,312.7098,298.59,299.81,273.4944,71318745.0,0.1275,
2021-02-26,302.28,320.043,300.14,309.45,282.8272,60262202.0,0.6013,
2021-03-31,313.48,332.86,305.68,330.18,302.3953,122218780.0,0.6714,
2021-04-30,330.78,342.43,329.72,338.94,310.5198,75056611.0,0.1119,
2021-05-28,340.79,351.0885,335.2,345.64,317.3089,84847074.0,0.7031,
2021-06-30,348.5401,348.65,332.68,344.95,317.1441,76469177.0,0.4927,
2021-07-30,345.78,351.7086,337.38,349.48,321.5004,88498673.0,0.2067,
2021-08-31,350.45,356.6,347.11,353.92,326.1516,69346527.0,0.6111,
2021-09-30,354.29,355.18,335.99,338.29,312.4114,98125142.0,0.7356,
2021-10-29,340.03,358.93,337.68,358.23,330.9355,83804433.0,0.1167,
2021-11-30,359.45,365.64,344.36,344.9,319.2486,86962292.0,0.701,
2021-12-31,348.04,366.7205,340.32,363.32,336.9285,121768111.0,0.6622,
2022-01-31,364.34,369.4985,331.35,351.08,325.8227,207848514.0,0.2578,
2022-02-28,351.66,358.1,322.685,339.34,315.407,139870843.0,0.5194,
2022-03-31,337.27,353.71,326.06,346.83,323.0852,127453594.0,0.7716,
2022-04-29,348.15,354.8783,329.1,329.69,307.231,103440368.0,0.126,
2022-05-31,330.35,341.17,306.28,330.2,308.4402,125388059.0,0.7451,
2022-06-30,332.41,332.95,296.39,307.82,288.2011,79877827.0,0.6921,
2022-07-29,307.4,329.27,301.47,328.66,307.8394,58151887.0,0.1285,
2022-08-31,326.91,343.09,315.6,315.65,296.2291,63630296.0,0.6562,
2022-09-30,314.29,325.68,287.04,287.3,270.3438,73664048.0,0.8231,
2022-10-31,290.555,328.89,286.62,327.42,308.2764,90894387.0,0.182,
2022-11-30,329.37,346.19,317.18,346.15,326.569,91340183.0,0.6809,
2022-12-30,346.75,348.22,325.65,331.33,313.3004,92346139.0,0.7504,
2023-01-31,332.42,343.49,328.1,340.83,322.5543,74209725.0,0.2804,
2023-02-28,339.12,343.53,326.43,326.57,309.5634,70152721.0,0.5522,
2023-03-31,326.04,336.12,314.97,332.62,316.1477,98530494.0,0.8581,
2023-04-28,333.59,341.04,332.31,341.03,324.3179,52690271.0,0.1843,
2023-05-31,341.1,342.59,325.82,329.52,314.0527,65470019.0,0.726,
2023-06-30,328.91,345.73,327.32,343.85,328.4513,67968815.0,0.7757,
2023-07-31,343.0,356.36,337.17,355.57,339.9048,65750322.0,0.2678,
2023-08-31,355.27,356.7,340.35,347.81,332.9782,75629212.0,0.5102,
2023-09-29,349.93,350.63,332.93,334.95,321.5217,59055727.0,0.9231,
2023-10-31,334.29,341.52,323.21,330.48,317.4104,90647372.0,0.1873,
2023-11-30,330.92,360.18,330.1,360.0,346.4624,67613811.0,0.7069,
2023-12-29,360.02,377.69,359.86,376.87,363.5089,81034702.0,0.8331,
2024-01-31,374.8,385.82,371.335,381.37,368.0561,87474132.0,0.2127,
2024-02-29,381.4,392.84,380.46,389.95,376.9328,66008098.0,0.6119,
2024-03-28,389.85,398.82,384.92,397.76,385.4091,70737036.0,0.9331,
2024-04-30,397.82,398.05,376.14,378.13,366.5794,91481255.0,0.1977,
2024-05-31,378.38,400.995,377.98,387.53,376.2503,69108340.0,0.5941,
2024-06-28,387.87,395.59,382.93,391.13,380.5932,49408374.0,0.8736,
2024-07-31,392.08,413.86,390.26,408.49,397.6773,78380819.0,0.1944,
2024-08-30,409.7,416.55,384.9309,416.21,405.5185,77139788.0,0.3267,
2024-09-30,414.19,426.2,400.81,423.12,413.4741,61804368.0,1.2478,
2024-10-31,422.42,433.2,417.02,417.67,408.2887,67251247.0,0.1488,
2024-11-29,419.67,451.28,416.44,450.09,440.2501,78839998.0,0.2662,
2024-12-31,450.61,451.55,421.72,425.5,417.3851,61527709.0,1.2227,
2025-01-31,428.34,450.36,418.51,445.39,437.059,55909667.0,0.1624,
2025-02-28,439.61,449.73,431.02,438.37,430.8231,50573725.0,0.6588,
2025-03-31,439.54,440.69,407.25,419.88,413.4388,58340051.0,0.8007,
2025-04-30,418.41,423.65,366.32,406.34,400.3079,95234276.0,0.1969,
2025-05-30,408.55,428.655,407.02,422.85,416.8868,55960191.0,0.3216,
2025-06-30,0.41297000,0.45001000,0.31292000,0.38144000,,,,10617788.60000000
2025-07-31,0.38016000,1.21420000,0.35695000,0.76357000,,,,205284398.87000000
2025-08-29,437.75,457.87,433.4,456.09,451.3871,95760296.0,0.2656,
2025-08-31,0.76300000,1.03924000,0.64788000,0.69277000,,,,75227862.33000000
2025-09-30,0.69263000,0.77612000,0.52269000,0.55256000,,,,23117474.21000000
2025-10-31,0.55275000,0.88226000,0.31271000,0.51608000,,,,80286183.03999996
2025-11-28,476.16,484.395,457.71,477.18,474.3523,143598927.0,0.5759,
2025-11-30,0.51769000,0.57970000,0.32723000,0.36607000,,,,35959974.70000000
2025-12-31,0.36502000,0.36556000,0.23880000,0.24634000,,,,24502866.54000000
2026-01-30,481.85,496.34,478.38,489.03,487.3637,127655259.0,0.1786,
2026-01-31,0.24622000,0.34899000,0.20000000,0.22174000,,,,16156136.22000000
2026-02-27,488.87,505.3,486.76,489.66,488.5947,132858827.0,0.6131,
2026-02-28,0.22196000,0.22902000,0.16713000,0.18634000,,,,12314604.44000000
2026-03-27,484.34,490.98,450.49,451.39,451.39,161273066.0,0.994,
2026-03-31,0.18557000,0.20427000,0.16130000,0.17195000,,,,14520253.94000000
2026-04-18,0.17225000,0.21400000,0.16599000,0.19598000,,,,6848365.40000000
